Позиция;Обозначение;Корпус;Количество;Значение;Поставщик и справка
1;J20,J22,J12,J26,J29,J9,J24,J19,J14,J30,J10,J25,J15,J18,J23,J13,J28,J8,J17,J27,J7,J21,J16,J11,J6,J35,J1,J2,J3,J4,J5;TerminalBlock_bornier-2_P5.08mm;31;Screw_Terminal_01x02;527
2;U3,U19,U14,U24,U9,U4,U25,U15,U20,U10,U5,U18,U13,U8,U23,U2,U17,U12,U7,U22,U21,U16,U11,U6,U1;TSSOP-14-1EP_4.4x5mm_P0.65mm;25;LM3406;1750
3;R164,R434,R344,R279,R189,R99,R9,R254,R74,R435,R165,R255,R345,R370,R75,R190,R280,R100,R10,R369,R368,R188,R278,R98,R73,R8,R253,R163,R433,R343,R367,R187,R277,R97,R72,R7,R252,R162,R432,R342,R431,R341,R251,R161,R366,R276,R186,R96,R6,R71;R_0805_2012Metric;50;100K;50
4;R416,R326,R324,R144,R234,R236,R411,R231,R141,R410,R322,R230,R320,R321,R233,R143,R323,R59,R57,R56,R53,R58,R414,R55,R50,R51,R52,R413,R54,R247,R425,R337,R335,R427,R237,R245,R155,R145,R235,R325,R149,R328,R415,R147,R417,R146,R329,R327,R419,R412,R148,R239,R238,R418,R153,R243,R244,R151,R422,R242,R332,R152,R421,R333,R241,R66,R63,R331,R154,R65,R61,R424,R62,R70,R67,R334,R68,R69,R64,R157,R156,R246,R248,R336,R426,R159,R339,R249,R160,R340,R250,R338,R430,R423,R158,R428,R429,R232,R140,R142,R135,R134,R224,R314,R404,R137,R226,R406,R317,R227,R138,R407,R318,R228,R316,R408,R401,R136,R131,R129,R221,R400,R220,R130,R399,R311,R219,R309,R310,R222,R132,R402,R312,R48,R41,R44,R46,R45,R43,R42,R47,R40,R39,R403,R225,R315,R405,R313,R133,R223,R124,R123,R213,R303,R393,R126,R215,R395,R306,R216,R127,R396,R307,R217,R305,R397,R390,R125,R120,R118,R210,R389,R209,R119,R388,R300,R208,R298,R299,R211,R121,R391,R301,R37,R30,R33,R35,R34,R32,R31,R36,R29,R28,R392,R214,R304,R394,R302,R122,R212,R381,R291,R201,R111,R383,R293,R203,R116,R386,R296,R206,R113,R385,R295,R205,R114,R384,R294,R204,R115,R382,R292,R202,R112,R379,R289,R199,R109,R378,R288,R198,R108,R377,R287,R197,R107,R380,R290,R200,R110,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26;R_1206_3216Metric;250;1R;250
5;R269,R359,R179,R449,R89,R180,R270,R450,R360,R90,R88,R178,R448,R268,R358,R87,R177,R447,R267,R357,R446,R356,R266,R176,R86,R451,R453;R_0805_2012Metric;27;10K;27
6;R174,R439,R264,R259,R354,R169,R364,R184,R194,R284,R274,R374,R349,R4,R79,R94,R444,R104,R14,R84,R15,R445,R350,R170,R260,R355,R175,R440,R265,R105,R195,R365,R5,R185,R275,R85,R375,R95,R80,R285,R183,R363,R103,R193,R283,R273,R373,R93,R83,R78,R3,R13,R348,R443,R258,R168,R173,R353,R263,R438,R182,R362,R102,R192,R282,R272,R372,R92,R82,R77,R2,R12,R347,R442,R257,R167,R172,R352,R262,R437,R436,R346,R256,R166,R441,R351,R261,R171,R361,R271,R181,R91,R371,R281,R191,R101,R1,R11,R76,R81,R455,R465;R_0805_2012Metric;102;1K;102
7;L19,L9,L24,L4,L14,L5,L20,L10,L25,L15,L18,L8,L23,L13,L3,L17,L7,L22,L12,L2,L21,L16,L11,L6,L1;L_10.4x10.4_H4.8;25;22mkH;250
8;R139,R319,R49,R60,R240,R150,R330,R420,R229,R409,R398,R218,R128,R308,R38,R387,R207,R117,R297,R27,R376,R286,R196,R106,R16,R457;R_0805_2012Metric;26;100;26
9;C17,C27,C37,C39,C20,C44,C164,C97,C56,C136,C137,C124,C177,C57,C84,C96,C159,C179,C69,C119,C29,C45,C59,C189,C125,C139,C85,C165,C100,C5,C109,C149,C180,C19,C60,C140,C99,C199,C79,C157,C67,C117,C176,C16,C147,C4,C107,C197,C77,C187,C43,C83,C54,C174,C163,C94,C134,C133,C123,C93,C53,C13,C3,C105,C145,C75,C195,C185,C155,C173,C65,C115,C25,C14,C35,C42,C82,C51,C171,C162,C91,C131,C130,C122,C90,C50,C10,C2,C103,C143,C73,C193,C183,C153,C170,C63,C113,C23,C11,C33,C191,C151,C111,C71,C181,C141,C101,C61,C167,C127,C87,C47,C168,C128,C88,C48,C161,C121,C81,C41,C1,C7,C8,C21,C31,C201,C209,C213,C220;C_0805_2012Metric;129;0.1mkF;129
10;D14,D15,D54,D34,D94,D74,D95,D35,D75,D55,D93,D53,D33,D73,D13,D92,D52,D32,D72,D12,D91,D71,D51,D31,D11;SOT-23;25;Si2300;25
11;C38,C200,C80,C40,C160,C120,C158,C118,C78,C198,C116,C156,C76,C196,C36,C114,C154,C74,C194,C34,C192,C152,C112,C72,C32;C_0805_2012Metric;25;1mkF;25
12;D19,D20,D79,D59,D99,D60,D100,D80,D40,D39,D58,D98,D78,D38,D18,D57,D97,D77,D37,D17,D96,D76,D56,D36,D16;SOT-23-5;25;lmc7101;375
13;D9,D4,D5,D10,D29,D49,D24,D64,D44,D89,D84,D69,D70,D30,D25,D50,D45,D65,D90,D85,D68,D28,D63,D83,D23,D43,D88,D48,D3,D8,D67,D27,D62,D82,D22,D42,D87,D47,D2,D7,D86,D66,D46,D26,D81,D61,D41,D21,D1,D6,D102,D107;D_SMC;52;D_Schottky;728
14;C28,C30,C135,C175,C190,C110,C178,C138,C70,C18,C98,C58,C150,C148,C188,C108,C15,C55,C95,C68,C132,C172,C12,C52,C92,C66,C146,C186,C106,C26,C129,C169,C9,C49,C89,C64,C144,C184,C104,C24,C182,C142,C102,C62,C166,C126,C86,C46,C6,C22;CP_Radial_D10.0mm_P5.00mm;50;470mkF;500
15;D105;Diode_Bridge_Vishay_DFS;1;B380R;10
16;J32,J33;RJ45_Ninigi_GE;2;RJ45_Shielded;20
17;U29;LQFP-100_14x14mm_P0.5mm;1;STM32F303VCTx;266
18;C202,C203,C204,C205,C206,C207,C208,C212,C215;C_0603_1608Metric;9;0.1uf;9
19;C210,C211;C_0603_1608Metric;2;18pF;2
20;C214;CP_Radial_D10.0mm_P5.00mm;1;100uf 16v;1
21;C216;CP_EIA-3528-21_Kemet-B;1;10uf 10v;1
22;C217,C218,C223;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;3;0.1 mkf;3
23;C219;CP_Radial_D10.0mm_P5.00mm;1;220uf 50v;1
24;C221;CP_Radial_D10.0mm_P5.00mm;1;470uf 50v;1
25;C222;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10 mkf;1
26;D101;Converter_DCDC_muRata_NMAxxxxSC_THT;1;AM1DS-0505S-NZ;70
27;D103;LED_Avago_PLCC4_3.2x2.8mm_CW;1;Led_RGB_CA_2;
28;D104;SOT-23;1;SM712;
29;D106;LED_0805_2012Metric;1;LED;
30;J31;PinHeader_1x05_P2.54mm_Vertical;1;SWD;
31;J34;PinHeader_1x04_P2.54mm_Vertical;1;DEBUG;
32;JP1;SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm;1;TX_UA;
33;JP2;SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm;1;RX_UA;
34;JP3;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;1;TX_CAN;
35;JP4;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;1;RX_CAN;
36;L26;L_Radial_D9.5mm_P5.00mm_Fastron_07HVP;1;22 uH;
37;L27;L_12x12mm_H8mm;1;33 uH;
38;R452;R_0805_2012Metric;1;510;
39;R454;R_1206_3216Metric;1;15;
40;R456;R_0805_2012Metric;1;3K;
41;R458,R460,R464,R469;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;4;10k;
42;R459;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;120 Om;
43;R461,R463;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;10;
44;R462;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;3.3k;
45;R466;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1.5k;
46;R467;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1k;
47;R468;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;750 Om;
48;RV1;Potentiometer_Bourns_3296W_Vertical;1;10k;
49;SW1;SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm;1;SW_DIP_x01;
50;TP1;TestPoint_Pad_D1.0mm;1;A8;
51;TP2;TestPoint_Pad_D1.0mm;1;REF;
52;TP3;TestPoint_Pad_D1.0mm;1;F6;
53;TP4;TestPoint_Pad_D1.0mm;1;B0;
54;TP5;TestPoint_Pad_D1.0mm;1;E1;
55;TP6;TestPoint_Pad_D1.0mm;1;B1;
56;TP7;TestPoint_Pad_D1.0mm;1;B2;
57;TP9;TestPoint_Pad_D1.0mm;1;GND;
58;TP10;TestPoint_Pad_D1.0mm;1;E7;
59;TP11;TestPoint_Pad_D1.0mm;1;E10;
60;TP12;TestPoint_Pad_D1.0mm;1;E12;
61;TP13;TestPoint_Pad_D1.0mm;1;B13;
62;TP14;TestPoint_Pad_D1.0mm;1;C4;
63;TP15;TestPoint_Pad_D1.0mm;1;C5;
64;U26,U27,U32,U37;SOP-16_4.55x10.3mm_P1.27mm;4;74HC595;20
65;U28;TO-92_Inline;1;TL431LP;10
66;U30;SO-8_3.9x4.9mm_P1.27mm;1;MCP2551-I_SN;
67;U31;TO-220-3_Vertical;1;LM1117-3.3;40
68;U33;PowerIntegrations_SO-8;1;GD25Q16C;250
69;U34;SOIC-8_3.9x4.9mm_P1.27mm;1;MAX3485;
70;U35;SOIC-16W_7.5x10.3mm_P1.27mm;1;ISO7341C;140
71;U36;TO-263-5_TabPin3;1;LM2596S-ADJ;70
72;Y1;Crystal_SMD_HC49-SD;1;Crystal_Small;
73;R470;R_0805_2012Metric;1;nc;
74;TP8,TP16,TP17,TP18,TP19,TP20;TestPoint_Plated_Hole_D4.0mm;6;TestPoint;
;;;;;
;;;;;5679
